LAT,LON,PROG
-2.5,82.5,True
-44.8,4.0,True
8.0,6.5,True
-9.0,11.5,True
-41.5,12.1,True
36.1,12.5,True
-28.3,15.0,True
-54.0,19.0,True
-33.5,22.0,True
-23.2,24.0,True
44.3,25.2,True
-34.5,26.3,True
34.0,34.2,True
-37.0,35.5,True
-47.2,36.0,True
-43.1,40.0,True
-21.5,44.0,True
-27.0,44.0,True
-6.3,46.0,True
-42.0,57.0,True
10.0,59.0,True
-4.3,63.0,True
11.3,67.7,True
-25.5,71.5,True
-39.0,72.0,True
-39.5,72.5,True
28.0,76.5,True
28.5,79.5,True
-28.5,79.0,True
-2.5,82.5,True
-15.0,86.5,True
-3.3,87.0,True
39.5,89.0,True
38.0,89.0,True
30.0,89.0,True
29.2,90.5,True
-48.0,92.0,True
20.0,94.7,True
-8.0,94.7,True
44.5,96.5,True
-45.2,101.0,True
50.0,102.0,True
-50.0,102.0,True
-38.5,102.5,True
24.3,103.0,True
40.0,104.0,True
-8.5,104.0,True
-34.5,104.5,True
-16.0,105.0,True
-27.0,106.5,True
25.2,108.3,True
25.0,109.0,True
-38.5,110.5,True
18.5,118.5,True
21.0,122.0,True
3.0,123.5,True
7.0,127.0,True
-42.5,128.0,True
-13.3,129.0,True
-20.0,129.0,True
18.0,131.7,True
-43.5,134.0,True
-30.0,135.5,True
43.0,142.5,True
2.0,143.0,True
-16.5,144.0,True
30.0,145.5,True
-40.5,146.5,True
-50.0,147.0,True
-42.0,149.0,True
23.3,153.5,True
39.5,154.0,True
20.0,157.0,True
44.0,158.0,True
-13.5,158.5,True
46.0,163.5,True
-35.0,165.0,True
11.5,165.5,True
-9.5,169.0,True
43.5,173.0,True
28.0,173.5,True
-20.0,173.5,True
-40.0,174.0,True
31.0,175.0,True
19.5,176.0,True
-3.5,176.5,True
9.5,177.5,True
14.0,181.0,True
21.0,181.5,True
-29.0,182.0,True
29.0,183.0,True
26.0,183.0,True
-48.5,183.0,True
-51.0,186.0,True
-47.0,186.5,True
48.0,187.0,True
17.0,187.5,True
-29.5,192.5,True
21.0,193.0,True
-31.0,197.0,True
11.5,197.5,True
31.0,200.5,True
35.0,201.0,True
45.5,202.0,True
18.0,203.0,True
33.5,205.0,True
-11.0,205.0,True
-42.0,205.0,True
-26.0,207.0,True
-36.0,207.0,True
27.0,208.0,True
23.0,210.0,True
17.5,211.0,True
-39.0,216.0,True
25.0,218.5,True
-38.0,219.0,True
-28.5,219.7,True
-8.5,221.5,True
-14.0,222.0,True
11.5,222.0,True
12.0,223.0,True
-40.0,223.0,True
29.2,224.2,True
-6.0,225.0,True
-27.0,225.0,True
20.0,225.5,True
1.5,225.5,True
-38.0,226.0,True
-46.0,227.8,True
-32.0,228.5,True
-16.0,229.8,True
-20.0,235.0,True
44.5,237.0,True
-29.0,241.0,True
-43.5,241.0,True
-40.0,242.0,True
-50.8,242.5,True
-38.8,244.2,True
7.3,244.3,True
-22.0,244.3,True
33.0,246.0,True
4.5,247.0,True
-42.5,249.0,True
41.0,250.0,True
22.8,251.5,True
26.0,251.7,True
-48.0,254.0,True
-34.0,257.0,True
42.5,258.0,True
-27.0,260.0,True
21.0,264.3,True
12.0,264.5,True
-6.0,268.0,True
21.3,268.5,True
26.0,270.3,True
18.0,271.0,True
-34.0,277.3,True
-32.0,280.0,True
-47.3,282.5,True
16.5,284.0,True
-44.5,284.0,True
-23.3,284.5,True
-47.0,287.0,True
-47.3,288.0,True
27.3,289.0,True
-49.0,290.0,True
28.0,291.0,True
-28.0,292.0,True
28.3,293.3,True
-26.0,294.0,True
22.0,297.0,True
-47.3,297.0,True
-48.3,297.0,True
-47.0,301.0,True
-33.0,301.8,True
-51.0,304.5,True
-48.0,305.0,True
-37.5,307.0,True
-46.5,308.5,True
-40.0,310.0,True
-49.0,310.7,True
-50.0,311.0,True
24.3,311.0,True
-16.5,314.5,True
-24.3,315.0,True
-30.0,315.5,True
28.0,317.5,True
11.0,318.0,True
-34.0,320.0,True
-27.8,320.3,True
-15.3,320.5,True
-33.5,322.0,True
-7.5,324.5,True
-50.0,328.0,True
21.5,328.0,True
-3.5,329.0,True
-28.0,330.0,True
2.0,330.5,True
24.5,331.0,True
16.0,332.0,True
10.5,332.3,True
-44.0,334.5,True
18.0,342.0,True
-5.5,343.5,True
18.0,344.5,True
-28.0,344.5,True
-6.0,345.0,True
12.7,349.0,True
-42.8,351.0,True
30.0,352.5,True
